Student ID,Regular/Lateral,CIA-1,CIA-2,CIA-3,Assignment-1,Assignment-2,Assignment-3,Attendance (%),Internal(50),External(100),Final Marks,Grade
1,Regular,2,22,8,8,10,8,100,20,49,44,F
2,Regular,2,10,18,10,10,9,90,20,45,42,F
3,Regular,8,20,40,8,10,8,79,32,94,79,B
4,Regular,31,29,40,10,9,8,90,37,47,60,D
5,Regular,26,16,30,9,9,8,96,31,50,56,D
6,Regular,29,28,23,10,8,8,85,31,41,51,D
7,Regular,18,19,37,10,8,10,79,31,89,75,B
8,Regular,38,9,21,10,10,8,92,32,97,80,B
9,Regular,45,26,43,9,10,10,97,44,43,65,C
10,Regular,39,20,39,9,9,10,79,40,68,74,B
11,Regular,35,46,2,10,8,9,83,41,46,64,C
12,Regular,15,9,38,9,8,10,99,30,90,75,B
13,Regular,25,3,41,10,8,10,87,35,76,73,B
14,Regular,32,1,49,8,9,8,83,40,87,83,A
15,Lateral,3,39,2,9,10,8,97,25,61,55,D
16,Regular,20,9,2,8,8,10,89,20,51,45,F
17,Regular,21,16,18,10,8,9,89,24,99,73,B
18,Regular,28,24,33,10,10,9,87,34,75,71,B
19,Regular,21,4,6,9,8,9,93,19,80,59,D
20,Regular,17,18,17,8,8,10,90,22,79,61,C
21,Regular,25,23,10,8,10,8,89,27,48,51,D
22,Regular,1,18,45,9,8,9,89,33,46,56,D
23,Regular,3,18,44,9,9,9,77,33,46,56,D
24,Regular,14,39,25,9,10,10,92,35,96,83,A
25,Regular,27,30,34,10,8,8,81,34,76,72,B
26,Regular,21,48,35,10,8,8,89,41,62,72,B
27,Regular,16,32,22,10,8,10,95,30,61,60,D
28,Lateral,34,5,36,10,9,9,97,37,86,80,B
29,Regular,6,42,34,9,10,8,83,39,77,77,B
30,Regular,9,20,33,9,9,9,97,30,72,66,C
31,Regular,16,23,29,9,9,9,78,29,92,75,B
32,Regular,6,8,40,9,9,10,94,28,94,75,B
33,Regular,35,19,34,8,9,9,97,36,63,67,C
34,Regular,8,34,5,9,9,8,86,25,54,52,D
35,Regular,37,3,30,9,8,10,78,35,42,56,D
36,Lateral,40,44,13,10,9,9,100,42,62,73,B
37,Regular,48,4,8,9,8,9,95,31,87,74,B
38,Regular,19,22,29,9,10,10,77,30,49,54,D
39,Regular,12,14,13,8,9,9,98,19,49,43,F
40,Regular,21,34,11,8,8,8,88,30,73,66,C
41,Regular,22,36,17,10,10,10,78,33,84,75,B
42,Regular,26,3,30,8,9,8,86,30,40,50,D
43,Lateral,47,5,9,10,10,10,96,32,60,62,C
44,Regular,37,19,11,9,9,9,95,31,97,79,B
45,Regular,37,34,3,9,9,8,90,37,70,72,B
46,Regular,46,2,14,9,9,10,83,33,47,56,D
47,Regular,33,1,31,9,8,10,97,34,67,67,C
48,Regular,14,24,40,10,9,9,100,34,62,65,C
49,Regular,29,26,24,10,8,10,82,31,64,63,C
50,Regular,20,14,1,8,10,9,75,22,49,46,F
51,Regular,14,7,38,9,9,9,99,29,40,49,F
52,Regular,14,41,9,10,10,9,97,31,88,75,B
53,Regular,26,3,16,8,10,9,88,25,66,58,D
54,Regular,46,2,39,8,10,9,79,43,85,85,A
55,Regular,15,19,37,9,10,9,85,31,95,78,B
56,Regular,5,1,4,10,10,9,81,13,46,36,F
57,Regular,28,37,26,8,10,9,95,35,50,60,D
58,Regular,1,44,38,10,10,10,92,42,68,76,B
59,Lateral,19,39,10,10,8,8,97,31,40,51,D
60,Regular,43,11,14,9,8,9,76,31,63,62,C
61,Lateral,50,7,45,9,9,10,100,47,65,79,B
62,Regular,38,19,24,8,8,8,93,32,62,63,C
63,Lateral,22,38,17,8,8,10,80,32,58,61,C
64,Regular,10,35,30,10,9,8,78,35,70,70,C
65,Regular,28,31,22,10,10,9,81,33,62,64,C
66,Regular,35,23,30,8,9,10,93,35,62,66,C
67,Regular,6,11,30,8,10,8,85,25,64,57,D
68,Regular,35,30,20,8,8,8,98,34,65,66,C
69,Lateral,18,14,36,10,10,10,95,31,51,56,D
70,Regular,37,11,28,10,8,9,85,35,86,78,B
71,Regular,47,24,14,9,8,9,86,37,65,69,C
72,Lateral,9,25,17,8,9,8,100,25,47,48,F
73,Regular,38,15,7,9,10,10,93,30,97,78,B
74,Regular,12,5,2,10,10,10,97,16,75,53,D
75,Regular,44,30,9,10,9,9,92,38,97,86,A+
76,Regular,12,48,41,8,10,9,100,44,96,92,S
77,Regular,44,9,25,10,10,10,89,37,83,78,B
78,Regular,8,44,50,8,8,8,78,45,93,91,S
79,Regular,27,13,3,8,10,9,88,25,99,74,B
80,Regular,20,34,48,9,8,8,88,41,65,73,B
81,Lateral,31,29,46,8,8,10,81,39,45,61,C
82,Regular,13,5,37,8,10,9,81,29,86,72,B
83,Regular,20,37,15,8,8,8,90,30,70,65,C
84,Regular,46,23,31,8,10,10,83,40,85,82,A
85,Regular,43,14,12,10,9,10,88,32,52,58,D
86,Regular,17,40,43,9,10,10,100,42,52,68,C
87,Regular,1,2,38,10,9,10,97,25,49,49,F
88,Regular,28,49,43,9,10,8,79,45,60,75,B
89,Regular,48,18,18,10,10,10,80,36,78,75,B
90,Lateral,29,39,47,9,10,9,92,43,46,66,C
91,Regular,39,32,45,9,9,8,93,42,43,63,C
92,Regular,4,33,26,9,9,8,83,32,92,78,B
93,Regular,42,37,44,10,10,10,75,44,77,82,A
94,Regular,11,23,24,8,10,10,86,28,48,52,D
95,Regular,5,42,20,8,10,8,81,33,52,59,D
96,Regular,21,14,10,8,10,9,85,23,85,65,C
97,Lateral,23,19,12,8,8,10,75,25,86,68,C
98,Regular,5,6,21,8,9,8,80,19,75,56,D
99,Regular,16,9,4,8,8,8,80,18,95,65,C
100,Lateral,4,20,42,8,8,9,97,33,45,55,D
101,Regular,45,2,2,10,8,8,95,27,44,49,F
102,Regular,10,48,39,8,9,10,100,43,77,81,A
103,Regular,27,10,45,9,9,10,92,38,65,70,C
104,Lateral,10,29,43,8,10,10,75,38,82,79,B
105,Regular,14,18,14,8,10,10,79,22,96,70,C
106,Regular,6,33,28,8,8,10,83,33,96,81,A
107,Lateral,2,2,4,10,8,8,81,11,71,46,F
108,Regular,22,38,1,8,10,10,100,33,83,74,B
109,Regular,7,23,22,10,9,9,83,27,52,53,D
110,Regular,15,50,49,9,9,8,85,48,45,70,C
111,Regular,8,3,30,10,8,8,92,23,86,66,C
112,Lateral,44,37,35,9,9,9,84,41,83,82,A
113,Regular,32,11,6,9,9,10,83,26,61,56,D
114,Regular,32,14,30,10,9,10,97,34,80,74,B
115,Regular,8,46,21,9,8,8,90,35,82,76,B
116,Regular,5,13,7,9,8,8,75,16,86,59,D
117,Lateral,39,46,34,9,8,10,80,43,72,79,B
118,Regular,30,38,22,9,10,10,91,36,41,56,D
119,Regular,41,32,32,9,9,10,80,38,72,74,B
120,Regular,29,26,3,8,9,8,83,30,72,66,C
121,Regular,45,46,3,8,10,9,79,45,92,91,S
122,Lateral,37,38,15,8,8,8,87,38,65,70,C
123,Regular,34,34,19,9,10,9,82,36,99,85,A
124,Regular,1,21,46,9,8,9,96,35,47,58,D
125,Regular,10,2,48,8,10,10,96,32,78,71,B
126,Regular,22,46,47,8,9,8,94,45,51,70,C
127,Regular,13,16,31,8,10,10,76,28,84,70,C
128,Regular,36,42,28,10,9,10,94,40,70,75,B
129,Regular,9,21,37,9,10,9,83,32,65,64,C
130,Regular,38,6,18,8,9,9,92,31,91,76,B
131,Regular,18,44,49,9,10,8,92,46,74,83,A
132,Regular,1,42,18,10,10,9,88,33,65,65,C
133,Regular,31,44,40,8,9,8,96,41,78,80,B
134,Regular,17,16,11,9,8,9,78,21,77,59,D
135,Regular,38,49,43,8,10,8,84,45,56,73,B
136,Regular,36,38,31,9,9,8,84,38,89,82,A
137,Regular,20,29,41,8,9,8,79,36,80,76,B
138,Regular,36,10,5,9,8,10,87,27,54,54,D
139,Regular,31,20,48,10,8,10,80,40,82,81,A
140,Regular,11,25,13,9,9,10,83,24,69,58,D
141,Regular,17,8,43,10,8,9,93,33,47,56,D
142,Regular,30,19,45,9,9,8,86,38,90,83,A
143,Regular,11,17,15,10,8,8,87,21,97,69,C
144,Regular,46,17,23,9,9,10,91,36,98,85,A
145,Regular,50,45,8,9,10,10,91,47,55,74,B
146,Regular,50,27,4,8,8,10,81,39,51,64,C
147,Regular,15,5,1,9,8,10,77,17,78,56,D
148,Regular,34,28,48,9,8,9,94,41,64,73,B
149,Regular,20,25,20,8,10,8,89,26,65,58,D
150,Regular,6,26,44,9,8,8,96,36,72,72,B
151,Lateral,35,9,19,10,9,9,90,30,79,69,C
152,Regular,13,19,48,9,10,10,78,36,81,76,B
153,Regular,16,7,12,9,10,10,96,20,83,61,C
154,Regular,19,19,3,10,10,8,96,24,56,52,D
155,Regular,3,38,11,8,9,9,79,28,50,53,D
156,Regular,14,1,31,8,9,10,87,27,76,65,C
157,Regular,17,7,50,9,8,8,96,35,44,57,D
158,Regular,18,27,6,8,8,10,79,26,75,63,C
159,Regular,22,14,22,9,8,8,75,25,44,47,F
160,Lateral,22,3,26,9,10,10,75,28,89,72,B
161,Regular,31,42,7,9,9,8,86,37,94,84,A
162,Regular,18,23,42,10,10,9,77,35,63,66,C
163,Regular,8,50,39,9,10,9,97,44,43,65,C
164,Regular,6,50,38,10,8,8,87,43,59,72,B
165,Regular,44,13,29,9,9,8,76,37,61,67,C
166,Regular,11,24,41,10,8,8,76,34,68,68,C
167,Regular,38,9,28,9,8,10,80,35,45,57,D
168,Lateral,35,35,24,8,9,8,81,36,99,85,A
169,Regular,7,11,24,8,8,10,83,22,77,60,D
170,Regular,8,8,7,10,8,10,86,15,70,50,D
171,Regular,32,19,41,9,9,8,99,37,45,59,D
172,Regular,6,14,8,9,8,8,100,17,59,46,F
173,Regular,15,3,16,10,10,9,85,22,88,66,C
174,Regular,29,21,35,8,8,10,99,34,41,54,D
175,Regular,12,6,32,8,8,10,75,26,96,74,B
176,Regular,8,42,16,10,8,10,97,32,92,78,B
177,Regular,50,32,16,8,9,9,88,41,59,70,C
178,Regular,28,18,31,8,8,10,97,32,82,73,B
179,Regular,23,25,31,9,10,9,90,31,80,71,B
180,Regular,33,15,19,9,9,9,82,29,72,65,C
181,Regular,5,3,46,9,8,8,87,28,99,77,B
182,Lateral,37,8,38,10,8,9,80,39,71,74,B
183,Lateral,27,2,11,10,9,10,80,24,82,65,C
184,Regular,4,46,3,8,10,10,89,29,58,58,D
185,Regular,31,36,46,8,8,9,93,41,74,78,B
186,Regular,29,35,8,8,8,8,99,33,54,60,D
187,Regular,23,19,13,9,10,9,87,26,58,55,D
188,Lateral,42,42,4,10,10,9,82,43,70,78,B
189,Regular,39,24,26,8,10,8,78,34,45,56,D
190,Regular,9,36,12,8,8,9,82,27,92,73,B
191,Regular,43,42,47,9,10,9,77,45,71,80,B
192,Regular,49,41,2,9,9,10,77,45,43,66,C
193,Regular,30,11,30,8,9,10,89,33,50,58,D
194,Regular,44,36,21,8,10,9,82,41,54,68,C
195,Regular,38,39,8,10,8,9,91,39,56,67,C
196,Regular,13,28,5,8,9,9,92,25,80,65,C
197,Lateral,4,1,11,10,8,10,79,15,41,35,F
198,Regular,6,36,22,9,10,9,75,32,100,82,A
199,Regular,6,33,4,10,8,8,90,24,70,59,D
200,Lateral,29,17,19,9,10,8,85,28,81,68,C
201,Regular,25,8,23,10,9,10,80,28,55,55,D
202,Lateral,38,35,16,9,8,8,79,37,73,73,B
203,Lateral,23,11,13,9,9,8,98,23,67,56,D
204,Regular,32,20,19,8,9,9,89,29,92,75,B
205,Regular,33,23,6,9,8,9,87,31,49,55,D
206,Regular,5,12,47,9,9,10,83,32,77,70,C
207,Lateral,3,37,11,10,8,8,87,27,73,63,C
208,Regular,14,9,46,10,9,9,81,33,81,73,B
209,Regular,30,33,40,8,9,10,98,38,84,80,B
210,Regular,39,28,9,8,9,9,78,35,95,82,A
211,Regular,44,20,14,8,9,8,93,33,79,72,B
212,Regular,42,21,20,10,10,8,91,34,88,78,B
213,Regular,42,43,39,8,9,9,82,42,44,64,C
214,Regular,29,46,22,9,8,9,88,38,50,63,C
215,Regular,9,20,35,9,9,9,76,31,57,59,D
216,Regular,50,44,9,10,9,9,81,46,55,73,B
217,Regular,13,47,50,8,9,8,82,47,74,84,A
218,Lateral,5,45,13,9,10,8,93,32,99,81,A
219,Lateral,14,46,22,9,9,10,80,36,96,84,A
220,Regular,31,6,9,10,8,9,81,25,79,64,C
221,Regular,32,10,4,10,9,9,97,26,88,70,C
222,Regular,8,33,43,9,9,8,86,39,48,63,C
223,Lateral,13,10,33,9,8,9,84,27,73,63,C
224,Regular,8,16,3,10,10,9,76,19,82,60,D
225,Regular,19,1,4,9,8,10,96,18,60,48,F
226,Regular,3,22,20,8,10,10,100,26,64,58,D
227,Lateral,23,13,30,10,10,9,98,30,60,60,D
228,Regular,33,25,44,10,9,9,94,40,84,82,A
229,Regular,27,8,22,10,10,8,96,28,47,51,D
230,Regular,2,23,15,10,10,10,82,25,75,62,C
231,Regular,31,8,10,10,9,8,93,25,74,62,C
232,Regular,43,35,12,9,8,9,80,39,75,76,B
233,Lateral,50,10,2,8,9,9,87,32,62,63,C
234,Regular,41,49,3,10,10,8,88,45,54,72,B
235,Regular,13,40,42,10,9,8,89,41,79,80,B
236,Regular,27,6,31,9,10,9,88,32,93,78,B
237,Lateral,46,14,20,10,9,10,92,36,74,73,B
238,Regular,40,24,27,8,10,9,82,35,92,81,A
239,Regular,9,5,13,10,9,8,93,17,61,47,F
240,Regular,27,32,41,9,10,9,98,38,64,70,C
241,Regular,3,7,31,8,10,8,83,23,41,43,F
242,Regular,37,19,1,8,9,8,81,30,65,62,C
243,Regular,19,31,47,10,8,8,76,39,40,59,D
244,Regular,28,41,28,10,8,10,85,36,83,77,B
245,Regular,17,7,3,8,9,9,99,18,84,60,D
246,Regular,48,9,37,9,8,10,87,43,86,86,A+
247,Regular,33,27,28,9,9,10,81,33,65,65,C
248,Regular,41,38,23,9,8,9,91,40,81,80,B
249,Regular,1,41,2,9,10,9,98,26,90,71,B
250,Regular,27,4,16,10,9,9,75,26,56,54,D
251,Regular,42,33,30,10,9,9,84,39,84,81,A
252,Regular,27,12,14,8,8,8,92,24,66,57,D
253,Regular,36,18,49,9,10,9,78,43,88,87,A+
254,Regular,44,44,32,9,9,9,80,44,51,69,C
255,Regular,43,6,23,9,8,10,76,35,73,71,B
256,Regular,11,47,1,10,10,10,100,33,52,59,D
257,Regular,21,34,29,9,9,10,99,34,81,74,B
258,Regular,38,3,7,9,9,9,92,27,100,77,B
259,Lateral,21,5,22,8,10,10,89,26,73,62,C
260,Regular,9,10,34,10,10,10,86,27,87,70,C
261,Regular,3,36,24,8,9,9,87,32,82,73,B
262,Regular,17,46,2,9,8,9,92,33,42,54,D
263,Regular,34,3,38,10,10,9,96,38,92,84,A
264,Regular,7,5,18,9,10,10,86,19,93,65,C
265,Regular,46,8,4,9,9,9,83,30,52,56,D
266,Regular,2,30,30,10,8,10,76,33,75,70,C
267,Regular,40,19,45,9,8,10,88,43,63,74,B
268,Regular,38,45,9,9,9,10,75,42,68,76,B
269,Regular,2,47,39,8,9,8,89,42,44,64,C
270,Regular,49,26,32,9,10,9,77,41,78,80,B
271,Regular,14,44,41,9,9,9,78,43,56,71,B
272,Regular,28,16,20,8,8,8,81,27,71,62,C
273,Regular,34,27,24,9,9,10,75,33,53,59,D
274,Regular,30,42,37,9,9,9,81,40,87,83,A
275,Regular,41,2,25,8,8,8,85,34,59,63,C
276,Regular,24,8,31,8,8,8,80,30,57,58,D
277,Regular,21,48,36,9,10,10,83,43,93,89,A+
278,Regular,44,45,16,9,10,8,82,44,66,77,B
279,Regular,38,41,9,8,9,10,94,40,80,80,B
280,Regular,48,21,10,10,9,9,99,36,80,76,B
281,Regular,5,11,42,8,8,8,89,29,89,73,B
282,Regular,7,17,39,9,8,10,99,31,61,61,C
283,Regular,38,44,36,9,9,10,77,42,85,84,A
284,Regular,25,9,21,8,10,9,82,27,48,51,D
285,Regular,7,44,41,8,9,10,92,43,76,81,A
286,Regular,17,48,44,8,10,9,95,45,68,79,B
287,Regular,37,26,41,9,10,8,91,40,80,80,B
288,Regular,9,34,38,10,8,10,75,38,63,69,C
289,Regular,12,23,32,10,9,9,83,31,47,54,D
290,Regular,9,18,16,8,10,8,88,22,90,67,C
291,Regular,34,14,28,10,8,9,86,33,53,59,D
292,Regular,37,31,34,10,10,9,75,38,74,75,B
293,Regular,24,40,43,10,10,10,91,43,73,79,B
294,Regular,24,48,28,10,10,10,85,40,87,83,A
295,Regular,16,13,2,8,9,10,81,20,95,67,C
296,Regular,1,3,9,8,8,9,75,13,56,41,F
297,Regular,1,20,21,9,8,8,84,24,87,67,C
298,Regular,48,47,44,8,9,8,98,46,52,72,B
299,Regular,9,31,34,10,10,9,99,35,95,82,A
300,Lateral,5,26,45,8,9,10,97,37,59,66,C
301,Regular,42,30,15,10,8,10,85,38,98,87,A+
302,Regular,17,22,40,8,9,8,85,33,80,73,B
303,Regular,20,9,31,8,10,9,88,29,40,49,F
304,Regular,21,29,22,10,8,8,79,29,85,71,B
305,Regular,39,2,42,8,10,9,87,41,75,78,B
306,Regular,6,21,4,10,10,10,75,20,73,56,D
307,Lateral,12,45,39,9,9,8,91,42,99,91,S
308,Regular,12,35,40,9,8,8,89,38,75,75,B
309,Lateral,4,26,1,10,8,8,98,20,73,56,D
310,Regular,17,37,13,10,10,8,83,30,95,77,B
311,Regular,35,19,42,9,8,9,92,39,72,75,B
312,Regular,42,29,42,9,10,8,76,42,81,82,A
313,Regular,23,13,39,8,10,9,79,33,88,77,B
314,Regular,41,32,12,9,9,10,90,38,43,59,D
315,Regular,28,20,26,9,10,10,96,31,54,58,D
316,Regular,48,1,2,10,9,10,85,29,81,69,C
317,Regular,45,43,45,10,8,10,92,45,42,66,C
318,Lateral,20,39,46,10,10,9,80,43,75,80,B
319,Regular,5,23,29,9,9,8,89,29,62,60,D
320,Regular,18,27,6,8,8,8,89,26,100,76,B
321,Lateral,5,12,16,9,10,10,90,20,55,47,F
322,Regular,13,20,4,10,10,10,97,23,91,68,C
323,Regular,48,39,23,10,8,10,81,44,96,92,S
324,Regular,46,15,26,8,10,10,90,38,93,84,A
325,Regular,30,45,14,8,9,10,98,39,76,77,B
326,Regular,3,6,13,9,9,9,77,16,76,54,D
327,Regular,19,48,45,8,9,8,81,45,48,69,C
328,Regular,9,9,10,8,9,9,76,16,76,54,D
329,Regular,37,36,19,8,9,10,94,38,76,76,B
330,Regular,16,2,7,10,10,9,80,18,54,45,F
331,Regular,46,48,9,10,8,9,86,46,58,75,B
332,Regular,5,5,29,10,10,8,99,22,75,59,D
333,Regular,25,13,50,10,8,8,81,38,73,74,B
334,Regular,8,29,41,10,9,10,99,37,78,76,B
335,Regular,20,10,25,8,8,8,76,26,50,51,D
336,Regular,38,5,5,10,9,9,100,26,69,60,D
337,Regular,6,42,14,9,10,8,91,31,84,73,B
338,Regular,27,8,9,8,8,8,81,22,46,45,F
339,Regular,28,19,21,8,9,10,98,28,65,60,D
340,Regular,15,34,18,9,8,9,92,29,41,49,F
341,Regular,13,19,25,10,10,8,83,26,90,71,B
342,Regular,2,6,3,9,10,8,92,12,73,48,F
343,Regular,44,2,16,9,8,9,92,32,99,81,A
344,Regular,47,36,11,9,8,9,94,41,96,89,A+
345,Regular,43,43,25,9,8,9,80,43,85,85,A
346,Regular,32,18,12,8,9,10,96,29,69,63,C
347,Regular,32,36,26,8,10,10,96,36,48,60,D
348,Lateral,3,47,31,10,10,9,82,40,51,65,C
349,Regular,45,28,48,8,10,9,96,46,88,90,A+
350,Regular,11,35,8,8,8,10,89,27,45,49,F
351,Regular,45,22,20,8,10,10,77,36,82,77,B
352,Regular,3,6,38,8,9,9,87,26,47,49,F
353,Regular,48,34,19,9,8,10,76,41,94,88,A+
354,Regular,25,46,48,9,9,10,79,46,81,86,A+
355,Regular,21,27,46,10,8,10,89,38,70,73,B
356,Regular,2,14,48,8,10,9,84,33,59,62,C
357,Regular,27,28,4,8,10,9,97,31,40,51,D
358,Regular,46,43,12,10,10,9,75,45,47,68,C
359,Lateral,13,39,2,8,10,8,100,29,58,58,D
360,Regular,27,24,43,9,10,9,78,37,42,58,D
361,Regular,12,4,14,9,8,10,93,19,64,51,D
362,Regular,22,28,49,10,10,8,89,40,92,86,A+
363,Regular,10,30,34,10,8,9,91,34,81,74,B
364,Regular,9,35,10,8,8,10,75,26,82,67,C
365,Regular,24,39,40,9,9,9,87,40,59,69,C
366,Regular,26,39,6,8,10,10,97,35,47,58,D
367,Regular,49,26,15,9,9,8,79,38,100,88,A+
368,Regular,45,19,17,10,9,8,98,34,90,79,B
369,Regular,28,17,30,9,9,9,93,32,56,60,D
370,Lateral,9,26,19,10,9,9,86,27,87,70,C
371,Lateral,5,31,20,10,10,10,79,30,53,56,D
372,Regular,39,30,20,10,10,8,89,36,95,83,A
373,Regular,28,35,43,8,9,10,84,40,83,81,A
374,Regular,11,42,13,8,8,10,82,30,79,69,C
375,Regular,45,37,9,10,8,9,81,41,46,64,C
376,Regular,35,46,31,9,10,10,96,42,94,89,A+
377,Regular,29,15,8,8,10,10,82,26,62,57,D
378,Regular,43,47,40,10,8,8,80,44,67,77,B
379,Regular,36,34,14,10,9,10,93,37,66,70,C
380,Regular,3,23,23,8,8,10,91,27,68,61,C
381,Regular,48,13,38,10,8,10,95,43,57,71,B
382,Regular,17,18,44,9,8,8,90,33,92,79,B
383,Regular,46,6,24,8,8,8,97,36,59,65,C
384,Lateral,41,43,22,9,10,10,88,43,85,85,A
385,Regular,30,22,7,10,8,8,75,29,68,63,C
386,Regular,50,23,6,8,8,8,96,37,62,68,C
387,Regular,29,33,12,10,8,8,82,33,94,80,B
388,Regular,35,37,46,10,8,10,77,42,97,90,A+
389,Lateral,2,40,28,10,10,9,86,36,78,75,B
390,Regular,37,5,24,10,10,9,81,34,67,67,C
391,Regular,34,8,14,9,9,8,95,27,50,52,D
392,Regular,33,41,4,10,9,9,81,38,85,80,B
393,Regular,35,38,31,10,9,9,82,38,91,83,A
394,Regular,8,34,14,10,8,9,94,28,61,58,D
395,Regular,49,27,14,8,8,9,96,38,79,77,B
396,Regular,23,16,2,10,10,10,90,25,63,56,D
397,Regular,44,5,33,9,10,9,75,40,72,76,B
398,Lateral,16,41,37,9,10,9,82,40,55,67,C
399,Regular,41,19,19,10,10,8,90,33,65,65,C
400,Regular,33,20,38,8,10,10,91,37,47,60,D
401,Regular,1,26,46,9,9,9,90,37,55,64,C
402,Lateral,1,17,33,8,8,8,76,28,40,48,F
403,Regular,8,50,38,9,8,10,75,44,97,92,S
404,Regular,20,24,33,9,10,8,100,31,61,61,C
405,Regular,44,44,40,9,9,8,83,43,53,69,C
406,Regular,42,26,18,10,10,9,99,36,85,78,B
407,Regular,25,29,50,9,8,9,88,40,54,67,C
408,Regular,26,17,6,8,9,10,92,26,40,46,F
409,Regular,40,29,27,10,10,10,80,37,51,62,C
410,Regular,26,15,2,8,8,9,90,24,60,54,D
411,Regular,4,21,47,10,10,8,77,36,43,57,D
412,Regular,1,4,43,9,8,10,82,27,81,67,C
413,Regular,49,12,14,10,9,9,100,34,48,58,D
414,Regular,3,46,9,8,10,9,93,31,51,56,D
415,Regular,11,9,40,8,8,8,91,28,53,54,D
416,Lateral,5,45,17,9,10,9,77,34,67,67,C
417,Lateral,34,38,46,9,9,10,88,42,85,84,A
418,Regular,11,26,9,10,8,10,95,24,41,44,F
